name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fp1	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
F7	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
T3	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
T5	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
O1	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
F3	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
C3	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
P3	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
A1	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
Fz	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
Cz	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
Fp2	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
F8	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
T4	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
T6	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
O2	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
F4	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
C4	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
P4	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
A2	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
Fpz	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
Pz	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X1	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X2	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X3	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X4	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X5	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X6	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X7	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X8	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X9	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X10	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X11	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X12	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X13	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X14	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X15	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X16	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X17	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
X18	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
DC1	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
DC2	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
DC3	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
DC4	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
OSAT	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
PR	EEG	uV	0.0	256.0	ElectroEncephaloGram	512.0	good	n/a
