window,start_min,end_min,midpoint_min,bad_seconds,bad_percent,valid_channels,Delta_absolute,Delta_relative,Theta_absolute,Theta_relative,Alpha_absolute,Alpha_relative,Beta_absolute,Beta_relative,Gamma_absolute,Gamma_relative,quality
1,0.0,5.0,2.5,20.0,6.666666666666667,22,6.476728707403077e-15,33.72228828065605,3.240739082246175e-15,16.833769631077363,2.3154293832119856e-15,11.984170028864186,4.671367638589426e-15,24.34155665610937,1.8522965307384507e-15,9.728700162618203,Clean
2,5.0,10.0,7.5,0.0,0.0,22,1.600425707159463e-79,6.593102470563885,2.458492974390269e-79,10.12799034082336,3.015597888071051e-79,12.423035819236226,1.0541170582986104e-78,43.42533208659352,5.793519660058546e-79,23.86694278473405,Clean
3,10.0,15.0,12.5,0.0,0.0,22,1.5624502459486358e-79,6.531310930636443,2.4005296762666345e-79,10.034627185455264,2.9660688260323704e-79,12.39867816253145,1.0420210957424792e-78,43.55827515291232,5.708825986903485e-79,23.863875132053263,Clean
4,15.0,20.0,17.5,200.0,66.66666666666667,22,1.1383166428800628e-22,76.60693922762024,1.836551745166521e-23,11.145993149548223,7.232587795475491e-24,4.409608306528758,6.853400040316908e-24,4.296753218195643,1.4197648608279186e-24,1.4245022843237576,Poor
5,20.0,25.0,22.5,290.0,96.66666666666669,22,5.4319127729188874e-11,40.00480865860529,7.567546695315227e-11,26.703051368990177,1.4086614232858963e-11,20.45157592275561,7.348598989100228e-12,9.050326030662122,1.6023449714958725e-12,0.8479492779397059,Poor
6,25.0,30.0,27.5,250.0,83.33333333333333,22,9.133781954623418e-11,53.67033253727818,6.225811155288481e-11,21.27420122320701,2.068374520162722e-11,13.412897299259836,9.713075106736246e-12,8.570858749057987,1.6167464207307376e-12,0.8350432942258906,Poor
7,30.0,35.0,32.5,240.0,80.0,22,6.375392351722179e-11,49.78816637140711,6.086375977305837e-11,19.355794842865198,3.0270625319644226e-11,17.720956344107865,1.4164358331013318e-11,9.775970859297388,2.070602199545006e-12,0.947350436328424,Poor
8,35.0,40.0,37.5,200.0,66.66666666666667,22,5.5305022814824166e-11,46.90072002513951,6.06213137705546e-11,20.75335630957053,2.607177885915088e-11,18.17208181565114,1.5255502841904898e-11,10.29543387478784,2.319193773373364e-12,1.0837573175230373,Poor
9,40.0,45.0,42.5,180.0,60.0,22,1.1323990572503684e-10,57.713849400351926,4.170470598141438e-11,16.674382728696223,1.4032335452926012e-11,13.506417333160472,6.941706981288986e-12,8.570258561757594,9.883289080836125e-13,1.0587422015872208,Poor
10,45.0,50.0,47.5,150.0,50.0,22,1.1587002560454652e-10,58.37388566248168,3.1352654542030686e-11,14.76521035160276,1.336138483035283e-11,14.380550337091522,6.847046396655493e-12,8.777998716315167,9.559770300509933e-13,0.9890862930001773,Moderate
11,50.0,55.0,52.5,120.0,40.0,22,1.0554382767282001e-10,55.83066781474858,2.975477511555425e-11,15.651200537288515,1.5063750614111977e-11,15.538780447147682,7.611166177813148e-12,9.446253335854738,1.023188754136022e-12,0.7669369496401446,Moderate
12,55.0,60.0,57.5,160.0,53.333333333333336,22,8.893009421184213e-11,54.23775315408821,2.441641891915682e-11,17.505859982401596,1.3775834754285133e-11,14.165027497483765,7.549357047363528e-12,9.76342962625054,1.203794728493949e-12,1.1488390133612658,Poor
13,60.0,65.0,62.5,150.0,50.0,22,9.621983733020428e-11,56.333767587165305,2.524031301931697e-11,17.033132342948836,1.5184749872772098e-11,13.665391916522212,8.092479046108829e-12,8.956024344394487,1.264935633959397e-12,1.060575076031567,Moderate
14,65.0,70.0,67.5,160.0,53.333333333333336,22,8.766418655104637e-11,54.75908082661379,2.5696637386859483e-11,17.33652701116282,1.3007033968502328e-11,14.543825816447924,7.471877159000307e-12,8.981360650485131,1.2913017959284956e-12,1.1972777172379732,Poor
15,70.0,75.0,72.5,130.0,43.333333333333336,22,9.968959198919391e-11,57.3638139852659,2.559888526608507e-11,16.236625580492454,1.3351257379057512e-11,14.56369795169705,6.945952689519862e-12,8.080100341488995,1.0910665688839473e-12,0.9773308965708536,Moderate
16,75.0,80.0,77.5,130.0,43.333333333333336,22,9.2935323685808e-11,56.63402468455628,2.6098588666492728e-11,17.206150646683653,1.2525130004055524e-11,14.591969448707506,6.560038208329038e-12,7.822397581119242,9.741596237192449e-13,0.9229389649505694,Moderate
17,80.0,85.0,82.5,90.0,30.0,22,6.327459732501196e-11,55.58187837908834,1.518956879771779e-11,15.700939379829167,1.2339038371770562e-11,16.54873794091104,6.041388801669667e-12,8.21724558372949,8.035600566669069e-13,0.9369594697328834,Moderate
18,85.0,90.0,87.5,130.0,43.333333333333336,22,4.9100786759432005e-11,56.62831442475793,8.906965326669092e-12,14.87782918248669,9.175856228418011e-12,15.774203957237598,5.1758861245045296e-12,8.845115085384439,5.666016412862971e-13,0.9272766707313984,Moderate
19,90.0,95.0,92.5,200.0,66.66666666666667,22,4.9760564984388725e-11,54.377009380470106,1.0813295825553451e-11,16.587849959858183,1.050169726379041e-11,16.147627117182537,5.6867608629991655e-12,8.48036562801487,6.191724163976654e-13,0.8823669647875114,Poor
20,95.0,100.0,97.5,60.0,20.0,22,4.465089881505294e-11,55.73344763004698,9.756954321894926e-12,15.74528707275615,1.1052753430781744e-11,15.728492897648398,5.694609421079152e-12,8.625784851455318,6.048330153746736e-13,1.0089866125900866,Clean
21,100.0,105.0,102.5,40.0,13.333333333333334,22,4.458780093570471e-11,56.16722632802108,9.670540665928538e-12,16.579829921288113,9.584722931560582e-12,15.0049185380365,5.482154271035282e-12,8.137487157646033,5.601218112329865e-13,0.8949448111288725,Clean
22,105.0,110.0,107.5,40.0,13.333333333333334,22,4.380043839096679e-11,57.35919058653537,9.421200563406287e-12,15.77739664105146,9.05892301953503e-12,14.627766860588046,5.34086001421241e-12,8.196582181521181,5.20285170095815e-13,0.8774430447270899,Clean
23,110.0,115.0,112.5,70.0,23.33333333333333,22,4.6659147382819306e-11,57.89599454892054,9.219337031376371e-12,15.325900371398376,8.838630563694736e-12,14.568097235704569,5.384087272870843e-12,8.257956052203568,5.1390222595974e-13,0.8769584636065882,Moderate
24,115.0,120.0,117.5,40.0,13.333333333333334,22,4.469562661404658e-11,58.38871307445495,8.608424975305124e-12,15.568671256601208,8.405356462752501e-12,13.837218812500764,5.283026502557693e-12,8.269971255955697,5.261112926795033e-13,0.9063044268641632,Clean
25,120.0,125.0,122.5,40.0,13.333333333333334,22,4.659950556925771e-11,58.82526650166343,9.65066529160476e-12,16.060834064839693,8.39574810889702e-12,12.720422098196131,5.40959381371086e-12,8.381990869721662,5.66995017833632e-13,1.1508611220220144,Clean
26,125.0,130.0,127.5,50.0,16.666666666666668,22,4.807754378992074e-11,47.8951045870415,9.126420346635669e-12,12.349389143556945,9.129765943446076e-12,10.924437415754491,8.130227816785804e-12,16.170672954894684,3.300665145052688e-12,9.70670234581119,Clean
27,130.0,135.0,132.5,170.0,56.66666666666666,22,5.6810760794758695e-11,44.12360872082689,1.0961977096715124e-11,11.955098500406738,1.0150637629626848e-11,10.949416885157335,1.06785613459978e-11,18.32589906745985,4.894567253111923e-12,11.835955634709094,Poor
28,135.0,140.0,137.5,220.0,73.33333333333333,22,5.797354062027333e-11,28.840397560521776,1.2781734459028274e-11,7.969419716752807,1.2710717549627403e-11,7.491091167419896,3.2298582325687706e-11,27.92029847009546,2.6484260880373488e-11,24.745089297358287,Poor
29,140.0,145.0,142.5,230.0,76.66666666666667,22,4.5251093559861536e-11,43.09445399830184,1.124074956020088e-11,12.846500431306044,1.064730246307102e-11,11.910150500930564,1.0831924708446778e-11,18.223373293166347,4.451890529183472e-12,10.830053125473514,Poor
30,145.0,150.0,147.5,130.0,43.333333333333336,22,4.796129426778927e-11,56.29838155501754,1.1164190430988159e-11,15.227733067781193,9.46791476678756e-12,12.014770661407884,7.355663176383352e-12,10.851395162093963,1.059324929860037e-12,2.5058815604152977,Moderate
31,150.0,155.0,152.5,90.0,30.0,22,4.726864791932546e-11,57.77627693699792,1.1784941833479704e-11,16.03546910784217,9.825701787277203e-12,12.249124352609092,6.6656304550890655e-12,8.991169616650797,1.0292230393151209e-12,1.69755589260488,Moderate
32,155.0,160.0,157.5,90.0,30.0,22,5.118402179839867e-11,57.49698653577274,1.260484637360662e-11,15.45403003557617,1.0796835158873316e-11,12.63674171386729,6.795899939453999e-12,9.16475748026008,1.1187670513480158e-12,1.9681988091066387,Moderate
33,160.0,165.0,162.5,110.0,36.66666666666666,22,5.641787389976656e-11,58.13485529131373,1.5696733428624972e-11,17.1220289374695,9.631292804682904e-12,12.029910169603744,6.352751608971573e-12,8.07579145837129,1.0033780949044637e-12,1.186232270696865,Moderate
34,165.0,170.0,167.5,40.0,13.333333333333334,22,4.712774282856586e-11,56.88153830248446,1.278763982159253e-11,17.88311165485554,9.420912306997132e-12,12.457416479276674,5.984048620425694e-12,7.703072484573576,9.809734014773522e-13,1.4005324009328914,Clean
35,170.0,175.0,172.5,80.0,26.666666666666668,22,5.4272956044633216e-11,56.61631441277834,1.9293904316743367e-11,18.758011879667247,9.524395854055868e-12,12.54427140039126,6.286850920863118e-12,7.398140954857048,9.90293782219036e-13,1.121331714610385,Moderate
36,175.0,180.0,177.5,90.0,30.0,22,6.753555104782875e-11,57.92323299748239,3.2364741277018104e-11,18.77150154882029,9.476227770419898e-12,11.448049645623072,6.1473165467043466e-12,7.071853628364649,8.253577185305222e-13,0.8021842013126665,Moderate
37,180.0,185.0,182.5,60.0,20.0,22,6.277449713000503e-11,58.97009712994274,3.151403717163378e-11,18.623124793318265,8.533026187413089e-12,10.587512839614469,5.809896214763193e-12,6.939565379711497,8.003772629644065e-13,0.7802272347278133,Clean
38,185.0,190.0,187.5,60.0,20.0,22,6.050533487258025e-11,60.68142391216508,2.502599830570753e-11,16.972390460090104,8.037503967717292e-12,10.321363474244306,5.373601724684492e-12,7.283321719118861,7.246468893472403e-13,0.8252765279820192,Clean
39,190.0,195.0,192.5,10.0,3.333333333333333,22,5.581497723052523e-11,57.90606616260148,3.144016008642512e-11,19.38254954792648,7.971974491219504e-12,10.915906717295098,5.0824754179726105e-12,7.015399522862962,6.575783984671968e-13,0.7758947133655367,Clean
40,195.0,200.0,197.5,50.0,16.666666666666668,22,5.2441052899046376e-11,58.84216347567428,3.0551319862112016e-11,19.13235575560212,8.478723603598532e-12,10.38630676248236,5.125458050121012e-12,7.116662428307794,6.779521021522806e-13,0.7605222641839657,Clean
41,200.0,205.0,202.5,20.0,6.666666666666667,22,5.336625753015168e-11,57.509607789643134,2.939941853761205e-11,19.93228898822787,8.385723080197224e-12,10.15916179848558,5.361503564459317e-12,7.262147492592802,7.197122468186127e-13,0.7940898933416035,Clean
42,205.0,210.0,207.5,20.0,6.666666666666667,22,4.572627527766556e-11,57.39189933150354,2.2636165995225907e-11,19.70747844690492,8.729081681854449e-12,10.928822687410692,5.245709962669186e-12,6.75832847031944,7.845328175658536e-13,1.024347830169427,Clean
43,210.0,215.0,212.5,90.0,30.0,22,4.894620207955087e-11,56.7791499528261,2.274042226712817e-11,20.157511142837432,7.99469197276279e-12,11.159704005725688,4.8765775185047625e-12,6.413495959582784,8.315741783113258e-13,1.043333135447661,Moderate
44,215.0,220.0,217.5,230.0,76.66666666666667,22,6.422286000372493e-11,63.24980880754072,1.7916527759471388e-11,15.643207086040356,7.621262988485997e-12,10.227553065995446,4.7984504957956836e-12,6.843279420360111,7.11182645265772e-13,0.7688978944649747,Poor
45,220.0,225.0,222.5,30.0,10.0,22,3.502129251004172e-11,60.16869464015885,1.5851987639619408e-11,15.450959931629836,8.433730427260054e-12,11.528839541237591,5.4018501264318696e-12,7.937891945009517,8.108659586384462e-13,0.9247155149153286,Clean
46,225.0,230.0,227.5,90.0,30.0,22,3.057267439912387e-11,58.55017530732602,1.689043126328123e-11,15.875323039154964,8.870713039519574e-12,12.01416330701379,5.847128634499156e-12,8.519817335626243,8.697850363790726e-13,0.970318678276384,Moderate
47,230.0,235.0,232.5,100.0,33.333333333333336,22,4.159656357707215e-11,60.125764983746144,1.7894332709123776e-11,16.42545953319243,8.442402895416663e-12,11.140161281695024,5.7363215921042125e-12,8.221490961957183,7.986822792074789e-13,0.9055244855377832,Moderate
48,235.0,240.0,237.5,90.0,30.0,22,2.697610075921209e-11,57.18596321872138,1.1166307301519658e-11,16.566707286934445,7.653052375803723e-12,12.50295558407464,6.161030435686282e-12,9.719922069206332,6.859994434872876e-13,0.9496658663491404,Moderate
49,240.0,245.0,242.5,60.0,20.0,22,2.9982787211160685e-11,59.39414242181938,1.0301772888273594e-11,15.558117568788388,8.851798726940337e-12,12.19684158820121,6.038512470233424e-12,8.865429691062001,7.19539743504214e-13,0.9364267095750674,Clean
50,245.0,250.0,247.5,60.0,20.0,22,2.7680267418488858e-11,58.13819531433926,1.1935209153423248e-11,16.534062611123463,8.752863642697508e-12,11.954637387446397,6.456044721154008e-12,8.981723483407405,7.690214530733335e-13,0.9621053669936576,Clean
