channel,power
Fp1,1.3437466799354611e-13
F7,4.1745278199299423e-13
T3,4.73153957530551e-13
T5,2.7856981125987283e-13
O1,1.7895970004772028e-13
F3,2.575582609682481e-13
C3,5.111940843584969e-13
P3,2.0329784091635427e-13
Fz,1.365090164875229e-13
Cz,1.7710364323174944e-13
Fp2,1.487007976711949e-13
F8,3.9778369029416447e-13
T4,5.591576349678594e-13
T6,1.9689554289353907e-13
O2,1.545277579861141e-13
F4,2.966834929069531e-13
C4,2.6969753947758326e-13
P4,1.540238655825447e-13
Fpz,1.2547474899446305e-13
Pz,1.6779324155007097e-13
