Rank,Code,Description,Category,Patient_records,Percentage_of_disease_dataset
1,R41.8,Other Symptoms And Signs Involving Cognitive Functions And Awareness,Miscellaneous,24690,22.720998288333057
2,G40.9,"Epilepsy, Unspecified, Not Intractable, Without Status Epilepticus, Epilepsy, Unspecified, Intractable, With Status Epilepticus, Epilepsy, Unspecified, Intractable, Without Status Epilepticus, Epilepsy, Unspecified, Not Intractable, Without Status Epilepticus, Epilepsy, Unspecified, Intractable, With Status Epilepticus, Epilepsy, Unspecified, Intractable, Without Status Epilepticus, Epilepsy, Unspecified, Not Intractable, Without Status Epilepticus, Epilepsy, Unspecified, Intractable, With Status Epilepticus, Epilepsy, Unspecified, Intractable, Without Status Epilepticus",Seizure Disorders,19941,18.3507260780741
3,M79.6,Pain In Unspecified Limb,Miscellaneous,18472,16.998877293725727
4,R55,Syncope And Collapse,Miscellaneous,17219,15.845802734986105
5,F32.9,"Major Depressive Disorder, Single Episode, Unspecified",Miscellaneous,15211,13.997938637660354
6,R13.1,"Dysphagia, Unspecified",Miscellaneous,13474,12.399462573390021
7,G93.4,"Encephalopathy, Unspecified",Miscellaneous,13207,12.153755544512544
8,R47.0,"Aphasia, Dysphasia",Cerebral Lobe Dysfunction; Headache Disorders,12810,11.788415879852023
9,R41.0,"Disorientation, Unspecified",Cerebral Degeneration,12043,11.082583328732078
10,M54.5,Low Back Pain,Miscellaneous,11216,10.321535714943037
11,R29.8,Other Symptoms And Signs Involving The Musculoskeletal System,Miscellaneous,10839,9.974601071172216
12,R51,Headache,Headache Disorders,10632,9.784109104963834
13,G47.3,"Sleep Apnea, Unspecified, Primary Central Sleep Apnea, Obstructive Sleep Apnea (Adult) (Pediatric), Sleep Apnea, Unspecified, Primary Central Sleep Apnea, Obstructive Sleep Apnea (Adult) (Pediatric), Sleep Apnea, Unspecified, Primary Central Sleep Apnea, Obstructive Sleep Apnea (Adult) (Pediatric)",Sleep Disorders,10207,9.393002411057736
14,I63.9,"Cerebral Infarction, Unspecified",Cerebrovascular Diseases,9280,8.539929692820202
15,G40.2,"Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Complex Partial Seizures, Intractable, Without Status Epilepticus",Seizure Disorders,8999,8.281339149319935
16,G47.0,"Insomnia, Unspecified",Sleep Disorders,8930,8.217841827250474
17,M54.2,Cervicalgia,Miscellaneous,8480,7.803728857232253
18,G40.8,"Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Not Intractable, Without Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, With Status Epilepticus, Lennox-Gastaut Syndrome, Intractable, Without Status Epilepticus, Epileptic Spasms, Not Intractable, With Status Epilepticus, Epileptic Spasms, Not Intractable, Without Status Epilepticus, Epileptic Spasms, Intractable, With Status Epilepticus, Epileptic Spasms, Intractable, Without Status Epilepticus",Seizure Disorders,7665,7.053724255977031
19,M62.8,"Muscle Weakness (Generalized), Other Muscle Spasm, Muscle Weakness (Generalized), Other Muscle Spasm",Miscellaneous,7373,6.785010950987429
20,Z51.8,Encounter For Therapeutic Drug Level Monitoring,Miscellaneous,6909,6.358014466346419
21,G40.3,"Generalized Idiopathic Epilepsy And Epileptic Syndromes, Intractable, With Status Epilepticus, Generalized Idiopathic Epilepsy And Epileptic Syndromes, Intractable, Without Status Epilepticus, Generalized Idiopathic Epilepsy And Epileptic Syndromes, Intractable, With Status Epilepticus, Generalized Idiopathic Epilepsy And Epileptic Syndromes, Intractable, Without Status Epilepticus",Seizure Disorders,6430,5.917214216038135
22,G40.1,"Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Not Intractable, Without Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, With Status Epilepticus, Localization-Related (Focal) (Partial) Symptomatic Epilepsy And Epileptic Syndromes With Simple Partial Seizures, Intractable, Without Status Epilepticus",Seizure Disorders,6004,5.525187271087552
23,R26.9,Unspecified Abnormalities Of Gait And Mobility,Miscellaneous,5870,5.401873631126572
24,G43.9,"Migraine, Unspecified, Not Intractable, Without Status Migrainosus",Headache Disorders,5796,5.333775053834686
25,M54.1,"Radiculopathy, Site Unspecified",Miscellaneous,5550,5.1073932968913915
26,R41.3,Other Amnesia,Cerebral Lobe Dysfunction,5275,4.854324259658035
27,R25.2,"Cramp And Spasm, Cramp And Spasm",Miscellaneous; Movement And Cerebellar Disorders,5248,4.829477481456942
28,M79.1,Myalgia,Miscellaneous,5124,4.715366351940809
29,G81.9,"Hemiplegia, Unspecified Affecting Unspecified Side",Other Neurological Disorders,5041,4.63898551524856
30,F03.9,Unspecified Dementia Without Behavioral Disturbance,Cerebral Degeneration,4921,4.528555389910368
31,G40.4,"Other Generalized Epilepsy And Epileptic Syndromes, Not Intractable, Without Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Intractable, With Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Intractable, Without Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Not Intractable, Without Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Intractable, With Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Intractable, Without Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Not Intractable, Without Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Intractable, With Status Epilepticus, Other Generalized Epilepsy And Epileptic Syndromes, Intractable, Without Status Epilepticus",Seizure Disorders,4482,4.124565181381481
32,G31.8,"Mild Cognitive Impairment, So Stated",Miscellaneous,4165,3.8328456002797564
33,D89.8,"Other Specified Disorders Involving The Immune Mechanism, Not Elsewhere Classified",Miscellaneous,4125,3.796035558500359
34,R25.1,"Tremor, Unspecified",Movement And Cerebellar Disorders,4025,3.7040104540518652
35,E11.4,Type 2 Diabetes Mellitus With Diabetic Polyneuropathy,Miscellaneous,3872,3.5632120442456703
36,G45.9,"Transient Cerebral Ischemic Attack, Unspecified",Cerebrovascular Diseases,3844,3.5374450150000922
37,G25.8,"Restless Legs Syndrome, Stiff-Man Syndrome",Miscellaneous; Sleep Disorders,3514,3.2337621703200634
38,R47.1,Dysarthria And Anarthria,Miscellaneous,2908,2.6760900373621923
39,F09,Unspecified Mental Disorder Due To Known Physiological Condition,Behavioral/Cognitive Syndromes,2877,2.6475622549831592
40,G43.0,"Migraine Without Aura, Not Intractable, With Status Migrainosus, Migraine Without Aura, Not Intractable, Without Status Migrainosus, Migraine Without Aura, Intractable, With Status Migrainosus, Migraine Without Aura, Intractable, Without Status Migrainosus, Migraine Without Aura, Not Intractable, With Status Migrainosus, Migraine Without Aura, Not Intractable, Without Status Migrainosus, Migraine Without Aura, Intractable, With Status Migrainosus, Migraine Without Aura, Intractable, Without Status Migrainosus, Migraine Without Aura, Not Intractable, With Status Migrainosus, Migraine Without Aura, Not Intractable, Without Status Migrainosus, Migraine Without Aura, Intractable, With Status Migrainosus, Migraine Without Aura, Intractable, Without Status Migrainosus, Migraine Without Aura, Not Intractable, With Status Migrainosus, Migraine Without Aura, Not Intractable, Without Status Migrainosus, Migraine Without Aura, Intractable, With Status Migrainosus, Migraine Without Aura, Intractable, Without Status Migrainosus",Headache Disorders,2755,2.5352916275559974
41,C71.9,"Malignant Neoplasm Of Brain, Unspecified",Intracranial And Spinal Tumors,2744,2.525168866066663
42,F90.9,"Attention-Deficit Hyperactivity Disorder, Unspecified Type",Behavioral/Cognitive Syndromes,2720,2.5030828409990247
43,D49.6,Neoplasm Of Unspecified Behavior Of Brain,Intracranial And Spinal Tumors,2655,2.443266523107504
