channel,power
Fp1,1.8968602365436534e-12
F7,2.1782088737439747e-12
T3,2.0833202158488607e-12
T5,1.9291425254503993e-12
O1,1.9354522411457193e-12
F3,2.022951677018867e-12
C3,1.4552141822256034e-12
P3,1.4765788823674204e-12
Fz,2.370915915275719e-12
Cz,3.5561206823116166e-12
Fp2,1.6926247586986467e-12
F8,1.971017231783354e-12
T4,2.100543169600036e-12
T6,1.961470891641185e-12
O2,2.1474096031498684e-12
F4,1.5750864132836473e-12
C4,1.5951141758029353e-12
P4,1.6039895304363807e-12
Fpz,1.6025718913396637e-12
Pz,2.009734174420884e-12
