channel,power
Fp1,1.1533757604104007e-12
F7,1.7477258112999567e-12
T3,1.7723541831459258e-12
T5,1.4618248091058129e-12
O1,1.338066033508676e-12
F3,1.4054883929406027e-12
C3,1.4730523259607735e-12
P3,1.2908229355576465e-12
Fz,1.0952653203551066e-12
Cz,1.7093802881811122e-12
Fp2,1.209794158352951e-12
F8,1.7038412905726776e-12
T4,1.7634452886867045e-12
T6,1.0974368263480661e-12
O2,1.1541892233904005e-12
F4,1.2848617527396168e-12
C4,1.1791672150481613e-12
P4,1.0667457909970184e-12
Fpz,1.0482165043321641e-12
Pz,1.4358204542379489e-12
