channel,power
Fp1,1.2686327254933937e-11
F7,1.475265898176946e-11
T3,1.3548983740098893e-11
T5,9.021750707535172e-12
O1,9.887704249776893e-12
F3,8.953001289168016e-12
C3,5.630948300546562e-12
P3,7.557088361991048e-12
Fz,8.159066074148116e-12
Cz,8.13625102404753e-12
Fp2,1.1149594365558707e-11
F8,1.2566072387208766e-11
T4,1.20502764340002e-11
T6,1.0482736254905372e-11
O2,1.1614729740457395e-11
F4,6.993820018242939e-12
C4,5.714233434771716e-12
P4,7.814027719786333e-12
Fpz,1.0695796959273494e-11
Pz,1.035445354136888e-11
