channel,power
Fp1,2.819285751304031e-12
F7,3.0582237208345515e-12
T3,2.7910928739322916e-12
T5,2.3007686496041134e-12
O1,2.654432097756053e-12
F3,2.5405111201373637e-12
C3,1.8433119962440952e-12
P3,2.139462142189089e-12
Fz,2.59343330108065e-12
Cz,2.4077248165680348e-12
Fp2,2.7112458096943074e-12
F8,2.696173257389464e-12
T4,2.708258209737785e-12
T6,2.6369783665383767e-12
O2,3.1766918632073426e-12
F4,2.010571123754748e-12
C4,1.827281798511119e-12
P4,2.3525003803661982e-12
Fpz,2.7093664869029462e-12
Pz,2.9298507264932626e-12
